forward_only_mean,forward_only_std,model,model.context_length,num_warmup_steps
0.10261663840010442,0.24673593154631743,small,128,0
0.02439416830002301,0.0002482583235028874,small,128,1
0.024440913899979932,0.00016728933502782175,small,128,2
0.02402825759991174,7.233534690410075e-05,small,128,5
0.03589679940014321,0.03712054783818059,small,256,0
0.024379992100057278,0.00015489453386174253,small,256,1
0.02429000609981813,0.0001242024015707802,small,256,2
0.024116227000013167,0.00020722265738277903,small,256,5
0.03858399009995992,0.0360101574243613,small,512,0
0.02716309689985792,0.00012456552005197705,small,512,1
0.027320088600117743,0.00011701484480545747,small,512,2
0.02722555600003034,9.251134795615163e-05,small,512,5
0.07345762019986068,0.037530546018478536,small,1024,0
0.06188307859993074,6.329045490381348e-05,small,1024,1
0.06132411149992549,0.0001557159992909674,small,1024,2
0.06165088650004691,0.001042836608328414,small,1024,5
0.05335569290009516,0.013535404367346182,medium,128,0
0.048591167100039453,0.00046933788120505463,medium,128,1
0.04755373640000471,0.00023726457739526948,medium,128,2
0.04787362849983765,0.00034555797031014953,medium,128,5
0.053015725200020826,0.01354281840674897,medium,256,0
0.048400160100027276,0.00042805367340610005,medium,256,1
0.0482977027002562,0.00034313159777117234,medium,256,2
0.04813789029985856,9.820814804743024e-05,medium,256,5
0.0875052066000535,0.01346038539685203,medium,512,0
0.08283856259995445,0.0014877273719191082,medium,512,1
0.08361237529989012,0.00164402829848589,medium,512,2
0.08523843300008593,0.0023008880493247943,medium,512,5
0.18836292270007107,0.006348267974760358,medium,1024,0
0.18724750369992763,0.004308375109438385,medium,1024,1
0.18858166119998715,0.004216608834927445,medium,1024,2
0.18943986900003437,0.0034660013625924116,medium,1024,5
0.04681322010010262,0.009547777688679869,large,128,0
0.04410130169990225,0.0011705773576442659,large,128,1
0.04429983589998301,0.001149518103654928,large,128,2
0.04399186880018533,0.0005667034263945189,large,128,5
0.09188190050017511,0.0133902531662196,large,256,0
0.08829069519988479,0.002221913825511803,large,256,1
0.08841538280012173,0.0025658343253938025,large,256,2
0.08954389219989026,0.0027697866119074676,large,256,5
0.16913024610012145,0.007197752167414626,large,512,0
0.1671676741999363,0.004378643024484808,large,512,1
0.16799823059991467,0.004551409840346887,large,512,2
0.17096030449993121,0.004281743360622651,large,512,5
0.3959564972000408,0.013593247279301845,large,1024,0
0.3931715601001088,0.006628693646758246,large,1024,1
0.3949424693000765,0.005494237454562627,large,1024,2
0.39537503350002223,0.004079025292073419,large,1024,5
0.08207729980003933,0.00732265559936691,xl,128,0
0.09683430459999727,0.0005464779400317958,xl,128,1
0.07930495940008768,0.0011524623565462107,xl,128,2
0.09691365890002998,0.00042540743511109146,xl,128,5
0.15970620500002042,0.012572463344509649,xl,256,0
0.15499791770007504,0.004233310031083863,xl,256,1
0.15593881519989736,0.0038142951098082386,xl,256,2
0.1585418050000044,0.0035204081011080543,xl,256,5
0.3307843870000397,0.007189395455702339,xl,512,0
0.32978469370000313,0.006002384942437135,xl,512,1
0.33094010039985733,0.005082526546503512,xl,512,2
0.3310786725000071,0.004556774098824806,xl,512,5
0.7478419299000961,0.006460498831622003,xl,1024,0
0.7478371365997191,0.003741217475983133,xl,1024,1
0.7483619172000544,0.0030135975212130803,xl,1024,2
0.7519432775000496,0.002029346207546252,xl,1024,5
0.1315230031000283,0.009774907530973405,'2.7B',128,0
0.12819962369994756,0.004354988191923608,'2.7B',128,1
0.12800009829998088,0.004658190518554538,'2.7B',128,2
0.12762727170002108,0.004384291660216592,'2.7B',128,5
0.24335713189984745,0.018224006650837773,'2.7B',256,0
0.23767272280001633,0.007374666175562241,'2.7B',256,1
0.23811432630000126,0.006332556548782681,'2.7B',256,2
0.23892518800003018,0.005518242701770621,'2.7B',256,5
0.4985513421000178,0.00969136015834201,'2.7B',512,0
0.49822938869992867,0.008166776239598519,'2.7B',512,1
0.49940073579991806,0.008183493564688225,'2.7B',512,2
0.49911994910007706,0.004961837029157565,'2.7B',512,5
1.0444195224001305,0.011030407461073595,'2.7B',1024,0
1.0432378027000595,0.002022167318690453,'2.7B',1024,1
1.0453960432999339,0.0016751024778284892,'2.7B',1024,2
1.0474662986000112,0.0017017013573690416,'2.7B',1024,5
